ID,HH_ID,HH_WEIGHT,HH_GEO_ACC,H_STATE,H_COUNTY,H_CPA,H_MCD,H_TRACT,H_TAZ,A_TYPE,HH_TOT_TRIPS,HH_MO_TRIPS,HH_NM_TRIPS,GPS_Factor,F_HH_TOT_TRIPS,F_HH_MO_TRIPS,F_HH_NM_TRIPS,HH_SIZE,HH_WORK,TOT_VEH,OP_VEH,VEH_OUT,TOT_BIKE,TOLL_ACCNT,CAR_SHARE,RES_TYPE,INCOME,TRAV_DATE,TRAV_DOW,HOLIDAY,HOL_TYPE,OV_SAMPLE,STUDY,RECRUIT,RETRIEVE,R_LANG,SURV_LANG
37,102859,536.1826127,1,34,34007,007_804,3400726760,34007608401,22613,4,10,0,10,1.17,11.7,0,11.7,2,0,0,0,,0,2,2,1,2,8/2/2012,4,,0,0,1,1,3,1,1
38,102979,107.5259303,1,34,34007,007_805,3400705440,34007608700,22802,4,0,0,0,1.17,0,0,0,2,0,1,1,6,2,1,2,1,5,8/2/2012,4,,0,0,1,1,3,1,1
39,103024,206.8836439,1,34,34007,007_805,3400777630,34007608903,22815,5,9,9,0,1.17,10.53,10.53,0,3,2,4,4,4,3,1,2,1,5,7/30/2012,1,,0,0,1,1,1,1,1
40,103087,197.4337306,1,34,34007,007_805,3400781740,34007609203,22839,5,13,11,2,1.12,14.56,12.32,2.24,2,1,2,2,5,0,1,1,1,6,7/31/2012,2,,0,0,1,1,2,1,1
41,103105,330.8960671,1,34,34007,007_805,3400781740,34007609203,22837,5,4,4,0,1.12,4.48,4.48,0,5,1,2,2,20,3,1,2,1,7,8/3/2012,5,,0,0,1,1,2,1,1
42,103132,255.6560947,1,34,34007,007_805,3400781740,34007609205,22828,5,21,21,0,1.15,24.15,24.15,0,3,2,2,2,1,6,1,2,1,9,8/8/2012,3,,0,0,1,1,2,1,1
43,103846,210.4325346,1,34,34015,015_903,3401577180,34015501208,24420,4,8,8,0,1.17,9.36,9.36,0,2,0,2,2,10,2,1,2,1,2,8/7/2012,2,,0,0,1,1,3,1,1
44,103923,251.5454015,1,34,34015,015_904,3401559070,34015501301,24614,4,7,7,0,1.13,7.91,7.91,0,2,2,3,3,3,2,1,2,1,99,9/20/2012,4,,0,1,2,2,3,1,1
45,104207,403.2079313,1,34,34015,015_906,3401551390,34015501800,25036,5,3,3,0,1.12,3.36,3.36,0,4,2,2,2,12,4,2,2,1,6,8/1/2012,3,,0,0,1,1,3,1,1
46,104212,152.3760332,1,34,34015,015_905,3401521060,34015501900,24802,6,2,2,0,1.12,2.24,2.24,0,2,1,2,2,20,1,1,2,1,7,8/2/2012,4,,0,0,1,1,3,1,1
47,104316,114.8153079,1,34,34015,015_902,3401541160,34015502400,24216,5,2,2,0,1.17,2.34,2.34,0,1,1,1,1,4,1,1,2,1,5,8/2/2012,4,,0,0,1,1,3,1,1
48,104647,92.11534737,1,34,34021,021_602,3402129310,34021002500,18210,4,2,2,0,1.12,2.24,2.24,0,2,1,2,2,9000,2,2,2,1,7,7/31/2012,2,,0,0,1,1,3,1,1
49,104656,262.6365745,1,34,34021,021_601,3402174000,34021001200,18035,4,5,5,0,1.17,5.85,5.85,0,1,1,1,1,50,2,2,2,1,3,7/31/2012,2,,0,0,1,2,3,1,1
50,104899,87.02173021,1,34,34021,021_602,3402129310,34021003008,18229,4,3,3,0,1.17,3.51,3.51,0,1,0,1,1,3,0,2,2,1,4,8/2/2012,4,,0,0,1,1,3,1,1
51,104900,133.5264186,1,34,34021,021_602,3402129310,34021003008,18234,4,21,4,17,1.12,23.52,4.48,19.04,3,1,1,1,1,3,2,2,1,6,7/30/2012,1,,0,0,1,1,4,1,1
52,104915,459.9384839,1,34,34021,021_602,3402129310,34021003009,18227,4,9,9,0,1.12,10.08,10.08,0,2,1,1,1,20,1,1,2,5,6,7/31/2012,2,,0,0,1,1,3,1,1
53,105152,121.331263,1,34,34021,021_605,3402122185,34021003706,18813,4,8,8,0,1.12,8.96,8.96,0,2,1,2,2,15,2,1,2,1,7,8/8/2012,3,,0,0,1,1,3,1,1
